#Frame     RMSD_00001
       1       0.0000
       2      36.7477
       3      42.5092
       4      46.1530
       5      48.4364
       6      50.2611
       7      51.6128
       8      53.0590
       9      53.6252
      10      54.4931
      11      55.3015
      12      55.9142
      13      56.4817
      14      56.9572
      15      57.2557
      16      57.5299
      17      57.8993
      18      58.1440
      19      58.3041
      20      58.4395
      21      58.3911
      22      58.6026
      23      58.8089
      24      58.9863
      25      58.8619
      26      58.9091
      27      59.0260
      28      59.1752
      29      59.2466
      30      59.1407
      31      59.1056
      32      59.4303
      33      59.2945
      34      59.3389
      35      59.3374
      36      59.3287
      37      59.3874
      38      59.3675
      39      59.3983
      40      59.4707
